angle,x,y,w,h
0,2330,835,220,455
15,2200,840,215,415
30,2060,845,230,375
45,1880,860,215,355
60,1700,865,225,340
75,1540,865,230,330
90,1360,865,240,330
105,1225,865,230,330
120,1025,865,230,345
135,870,865,225,375
150,710,865,220,390
165,565,860,205,425
180,430,850,205,495
